track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/root/prime_track3_logs/track3_locom_orthogonal_seed3704_t500_h3000_20260604_train_gpt_simple_locom.py steps=500 trials=1 nproc=1 mbs=64 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=6c530bfd8a9d1e502d46102bdc30a534e0270ca62de581e264c299f9d5e58bcb generated=ff87e64b59da6edb55003ecde6c52f77746de9c06581bd238dda58fbf34e83a9
logs/65566613-c73b-4433-b90e-37235806cc48.txt
track3_trial_seed=3704 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] sample_tokens=2048 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=True aux_seqs=16 batched_prep=True
step:0/500 val_loss:10.82583 train_time:0.000s step_avg:nanms
locoprop_m_prepare step=0 l0:loss0=1.428e-06,lossK=6.404e-02,corr_norm=1.002e+01,grad_norm=1.000e-12,raw_cos_desc=0.000,cos_desc=0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l1:loss0=1.412e-06,lossK=6.851e-02,corr_norm=1.096e+01,grad_norm=1.000e-12,raw_cos_desc=0.000,cos_desc=0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l2:loss0=1.395e-06,lossK=3.485e-02,corr_norm=7.771e+00,grad_norm=1.000e-12,raw_cos_desc=0.000,cos_desc=0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l3:loss0=1.423e-06,lossK=5.617e-02,corr_norm=9.900e+00,grad_norm=1.000e-12,raw_cos_desc=0.000,cos_desc=0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1
locoprop_m_apply step=0 shape=(3072, 768):base_step=0.000e+00,corr_norm=1.002e+01,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=1.096e+01,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=7.771e+00,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=9.900e+00,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=2.742e+01,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=9.654e+00,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=8.834e+00,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=7.902e+00,cap=0.200,scale=0.000e+00
step:1/500 train_time:23.766s step_avg:23765.82ms
step:8/500 train_time:32.957s step_avg:4119.67ms
step:9/500 train_time:34.281s step_avg:3808.95ms
step:10/500 train_time:35.604s step_avg:3560.43ms
locoprop_m_prepare step=10 l0:loss0=4.533e-06,lossK=8.874e+04,corr_norm=2.738e+04,grad_norm=1.335e+04,raw_cos_desc=0.230,cos_desc=0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l1:loss0=5.437e-06,lossK=3.154e+10,corr_norm=6.707e+06,grad_norm=1.369e+04,raw_cos_desc=-0.021,cos_desc=-0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l2:loss0=3.203e-06,lossK=2.580e+04,corr_norm=1.452e+04,grad_norm=1.257e+04,raw_cos_desc=-0.302,cos_desc=-0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l3:loss0=3.546e-06,lossK=2.273e+04,corr_norm=1.446e+04,grad_norm=1.505e+04,raw_cos_desc=-0.468,cos_desc=0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1
locoprop_m_apply step=10 shape=(3072, 768):base_step=1.941e+00,corr_norm=2.738e+04,cap=0.200,scale=1.418e-05 | shape=(3072, 768):base_step=1.940e+00,corr_norm=6.707e+06,cap=0.200,scale=5.786e-08 | shape=(3072, 768):base_step=1.939e+00,corr_norm=1.452e+04,cap=0.200,scale=2.671e-05 | shape=(3072, 768):base_step=1.935e+00,corr_norm=1.446e+04,cap=0.200,scale=2.677e-05 | shape=(3072, 768):base_step=1.938e+00,corr_norm=3.469e+03,cap=0.200,scale=1.117e-04 | shape=(3072, 768):base_step=1.930e+00,corr_norm=8.567e+04,cap=0.200,scale=4.504e-06 | shape=(3072, 768):base_step=1.926e+00,corr_norm=1.874e+04,cap=0.200,scale=2.054e-05 | shape=(3072, 768):base_step=1.902e+00,corr_norm=1.468e+04,cap=0.200,scale=2.591e-05
step:11/500 train_time:36.927s step_avg:3357.00ms
step:12/500 train_time:38.254s step_avg:3187.80ms
step:13/500 train_time:39.579s step_avg:3044.51ms
step:14/500 train_time:40.900s step_avg:2921.41ms
step:15/500 train_time:42.221s step_avg:2814.75ms
step:16/500 train_time:43.548s step_avg:2721.78ms
step:17/500 train_time:44.878s step_avg:2639.90ms
step:18/500 train_time:46.210s step_avg:2567.23ms
step:19/500 train_time:47.538s step_avg:2501.99ms
step:20/500 train_time:48.861s step_avg:2443.04ms
step:21/500 train_time:50.185s step_avg:2389.75ms
step:22/500 train_time:51.513s step_avg:2341.52ms
step:23/500 train_time:52.839s step_avg:2297.36ms
step:24/500 train_time:54.162s step_avg:2256.75ms
step:25/500 train_time:55.488s step_avg:2219.52ms
step:26/500 train_time:56.814s step_avg:2185.17ms
step:27/500 train_time:58.139s step_avg:2153.29ms
step:28/500 train_time:59.461s step_avg:2123.60ms
step:29/500 train_time:60.782s step_avg:2095.93ms
step:30/500 train_time:62.105s step_avg:2070.16ms
step:31/500 train_time:63.430s step_avg:2046.14ms
step:32/500 train_time:64.756s step_avg:2023.63ms
step:33/500 train_time:66.079s step_avg:2002.40ms
step:34/500 train_time:67.403s step_avg:1982.44ms
step:35/500 train_time:68.728s step_avg:1963.66ms
step:36/500 train_time:70.057s step_avg:1946.03ms
step:37/500 train_time:71.379s step_avg:1929.17ms
step:38/500 train_time:72.701s step_avg:1913.18ms
step:39/500 train_time:74.021s step_avg:1897.98ms
step:40/500 train_time:75.344s step_avg:1883.59ms
step:41/500 train_time:76.667s step_avg:1869.92ms
step:42/500 train_time:77.993s step_avg:1856.98ms
step:43/500 train_time:79.317s step_avg:1844.57ms
step:44/500 train_time:80.639s step_avg:1832.70ms
step:45/500 train_time:81.960s step_avg:1821.33ms
step:46/500 train_time:83.281s step_avg:1810.46ms
step:47/500 train_time:84.604s step_avg:1800.08ms
step:48/500 train_time:85.929s step_avg:1790.19ms
step:49/500 train_time:87.255s step_avg:1780.72ms
step:50/500 train_time:88.577s step_avg:1771.54ms
locoprop_m_prepare step=50 l0:loss0=2.530e-05,lossK=4.711e-01,corr_norm=3.029e+01,grad_norm=3.276e+04,raw_cos_desc=0.005,cos_desc=0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l1:loss0=1.227e-05,lossK=7.324e-02,corr_norm=1.101e+01,grad_norm=2.057e+04,raw_cos_desc=-0.058,cos_desc=0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l2:loss0=7.825e-06,lossK=2.477e-01,corr_norm=3.177e+01,grad_norm=1.433e+04,raw_cos_desc=0.093,cos_desc=-0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l3:loss0=7.960e-06,lossK=4.470e-01,corr_norm=3.803e+01,grad_norm=1.251e+04,raw_cos_desc=0.037,cos_desc=-0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1
locoprop_m_apply step=50 shape=(3072, 768):base_step=1.939e+00,corr_norm=3.029e+01,cap=0.200,scale=1.280e-02 | shape=(3072, 768):base_step=1.939e+00,corr_norm=1.101e+01,cap=0.200,scale=3.523e-02 | shape=(3072, 768):base_step=1.940e+00,corr_norm=3.177e+01,cap=0.200,scale=1.221e-02 | shape=(3072, 768):base_step=1.939e+00,corr_norm=3.803e+01,cap=0.200,scale=1.020e-02 | shape=(3072, 768):base_step=1.939e+00,corr_norm=1.367e+01,cap=0.200,scale=2.836e-02 | shape=(3072, 768):base_step=1.939e+00,corr_norm=2.857e+01,cap=0.200,scale=1.357e-02 | shape=(3072, 768):base_step=1.939e+00,corr_norm=3.286e+01,cap=0.200,scale=1.180e-02 | shape=(3072, 768):base_step=1.940e+00,corr_norm=1.191e+02,cap=0.200,scale=3.257e-03
step:51/500 train_time:89.899s step_avg:1762.72ms
step:52/500 train_time:91.221s step_avg:1754.24ms
step:53/500 train_time:92.543s step_avg:1746.10ms
step:54/500 train_time:93.865s step_avg:1738.24ms
step:55/500 train_time:95.189s step_avg:1730.71ms
step:56/500 train_time:96.513s step_avg:1723.44ms
step:57/500 train_time:97.837s step_avg:1716.43ms
step:58/500 train_time:99.161s step_avg:1709.67ms
step:59/500 train_time:100.480s step_avg:1703.05ms
step:60/500 train_time:101.804s step_avg:1696.73ms
step:61/500 train_time:103.127s step_avg:1690.61ms
step:62/500 train_time:104.448s step_avg:1684.64ms
step:63/500 train_time:105.774s step_avg:1678.95ms
step:64/500 train_time:107.098s step_avg:1673.40ms
step:65/500 train_time:108.419s step_avg:1667.98ms
step:66/500 train_time:109.740s step_avg:1662.72ms
step:67/500 train_time:111.064s step_avg:1657.67ms
step:68/500 train_time:112.383s step_avg:1652.69ms
step:69/500 train_time:113.704s step_avg:1647.88ms
step:70/500 train_time:115.023s step_avg:1643.18ms
step:71/500 train_time:116.344s step_avg:1638.64ms
step:72/500 train_time:117.665s step_avg:1634.23ms
step:73/500 train_time:118.992s step_avg:1630.03ms
step:74/500 train_time:120.316s step_avg:1625.90ms
step:75/500 train_time:121.644s step_avg:1621.92ms
step:76/500 train_time:122.967s step_avg:1617.99ms
step:77/500 train_time:124.293s step_avg:1614.20ms
step:78/500 train_time:125.617s step_avg:1610.48ms
step:79/500 train_time:126.938s step_avg:1606.81ms
step:80/500 train_time:128.259s step_avg:1603.24ms
step:81/500 train_time:129.579s step_avg:1599.74ms
step:82/500 train_time:130.900s step_avg:1596.34ms
step:83/500 train_time:132.222s step_avg:1593.03ms
step:84/500 train_time:133.546s step_avg:1589.83ms
step:85/500 train_time:134.873s step_avg:1586.74ms
step:86/500 train_time:136.198s step_avg:1583.69ms
step:87/500 train_time:137.519s step_avg:1580.67ms
step:88/500 train_time:138.841s step_avg:1577.74ms
step:89/500 train_time:140.162s step_avg:1574.86ms
step:90/500 train_time:141.482s step_avg:1572.03ms
step:91/500 train_time:142.806s step_avg:1569.29ms
step:92/500 train_time:144.131s step_avg:1566.64ms
step:93/500 train_time:145.457s step_avg:1564.06ms
step:94/500 train_time:146.779s step_avg:1561.48ms
step:95/500 train_time:148.102s step_avg:1558.97ms
step:96/500 train_time:149.422s step_avg:1556.47ms
step:97/500 train_time:150.745s step_avg:1554.08ms
step:98/500 train_time:152.073s step_avg:1551.77ms
step:99/500 train_time:153.396s step_avg:1549.46ms
step:100/500 train_time:154.718s step_avg:1547.18ms
step:101/500 train_time:156.041s step_avg:1544.96ms
step:102/500 train_time:157.371s step_avg:1542.85ms
step:103/500 train_time:158.697s step_avg:1540.75ms
step:104/500 train_time:160.021s step_avg:1538.66ms
step:105/500 train_time:161.346s step_avg:1536.62ms
step:106/500 train_time:162.674s step_avg:1534.66ms
step:107/500 train_time:163.998s step_avg:1532.69ms
step:108/500 train_time:165.323s step_avg:1530.77ms
step:109/500 train_time:166.649s step_avg:1528.89ms
step:110/500 train_time:167.977s step_avg:1527.06ms
step:111/500 train_time:169.300s step_avg:1525.22ms
step:112/500 train_time:170.624s step_avg:1523.43ms
step:113/500 train_time:171.954s step_avg:1521.72ms
step:114/500 train_time:173.278s step_avg:1519.98ms
step:115/500 train_time:174.601s step_avg:1518.27ms
step:116/500 train_time:175.924s step_avg:1516.59ms
step:117/500 train_time:177.250s step_avg:1514.96ms
step:118/500 train_time:178.576s step_avg:1513.36ms
step:119/500 train_time:179.906s step_avg:1511.82ms
step:120/500 train_time:181.233s step_avg:1510.27ms
step:121/500 train_time:182.555s step_avg:1508.72ms
step:122/500 train_time:183.878s step_avg:1507.20ms
step:123/500 train_time:185.199s step_avg:1505.68ms
step:124/500 train_time:186.523s step_avg:1504.22ms
step:125/500 train_time:187.848s step_avg:1502.78ms
step:125/500 val_loss:4.63267 train_time:187.848s step_avg:1502.78ms
locoprop_m_prepare step=125 l0:loss0=8.382e-05,lossK=2.790e-01,corr_norm=1.948e+01,grad_norm=1.673e+04,raw_cos_desc=0.043,cos_desc=0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l1:loss0=1.939e-05,lossK=6.479e-01,corr_norm=5.818e+01,grad_norm=7.340e+03,raw_cos_desc=-0.049,cos_desc=-0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l2:loss0=1.341e-05,lossK=3.393e-03,corr_norm=1.853e+00,grad_norm=5.097e+03,raw_cos_desc=0.041,cos_desc=-0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l3:loss0=1.607e-05,lossK=1.106e-02,corr_norm=2.698e+00,grad_norm=4.844e+03,raw_cos_desc=0.020,cos_desc=-0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1
locoprop_m_apply step=125 shape=(3072, 768):base_step=1.939e+00,corr_norm=1.948e+01,cap=0.200,scale=1.991e-02 | shape=(3072, 768):base_step=1.941e+00,corr_norm=5.818e+01,cap=0.200,scale=6.672e-03 | shape=(3072, 768):base_step=1.940e+00,corr_norm=1.853e+00,cap=0.200,scale=2.095e-01 | shape=(3072, 768):base_step=1.941e+00,corr_norm=2.698e+00,cap=0.200,scale=1.439e-01 | shape=(3072, 768):base_step=1.941e+00,corr_norm=1.930e+01,cap=0.200,scale=2.012e-02 | shape=(3072, 768):base_step=1.941e+00,corr_norm=4.210e+00,cap=0.200,scale=9.221e-02 | shape=(3072, 768):base_step=1.940e+00,corr_norm=9.503e+00,cap=0.200,scale=4.084e-02 | shape=(3072, 768):base_step=1.941e+00,corr_norm=4.172e+01,cap=0.200,scale=9.304e-03
step:126/500 train_time:189.176s step_avg:1501.40ms
step:127/500 train_time:190.499s step_avg:1499.99ms
step:128/500 train_time:191.824s step_avg:1498.63ms
step:129/500 train_time:193.150s step_avg:1497.29ms
step:130/500 train_time:194.478s step_avg:1495.98ms
step:131/500 train_time:195.804s step_avg:1494.68ms
step:132/500 train_time:197.130s step_avg:1493.41ms
step:133/500 train_time:198.459s step_avg:1492.17ms
step:134/500 train_time:199.785s step_avg:1490.93ms
step:135/500 train_time:201.115s step_avg:1489.74ms
step:136/500 train_time:202.438s step_avg:1488.51ms
step:137/500 train_time:203.761s step_avg:1487.31ms
step:138/500 train_time:205.083s step_avg:1486.11ms
step:139/500 train_time:206.408s step_avg:1484.95ms
step:140/500 train_time:207.737s step_avg:1483.83ms
step:141/500 train_time:209.059s step_avg:1482.69ms
step:142/500 train_time:210.389s step_avg:1481.61ms
step:143/500 train_time:211.717s step_avg:1480.54ms
step:144/500 train_time:213.044s step_avg:1479.47ms
step:145/500 train_time:214.374s step_avg:1478.44ms
step:146/500 train_time:215.700s step_avg:1477.40ms
step:147/500 train_time:217.032s step_avg:1476.41ms
step:148/500 train_time:218.357s step_avg:1475.39ms
step:149/500 train_time:219.690s step_avg:1474.43ms
step:150/500 train_time:221.018s step_avg:1473.45ms
step:151/500 train_time:222.350s step_avg:1472.52ms
step:152/500 train_time:223.677s step_avg:1471.56ms
step:153/500 train_time:225.008s step_avg:1470.64ms
step:154/500 train_time:226.337s step_avg:1469.72ms
step:155/500 train_time:227.665s step_avg:1468.81ms
step:156/500 train_time:228.995s step_avg:1467.91ms
step:157/500 train_time:230.322s step_avg:1467.02ms
step:158/500 train_time:231.654s step_avg:1466.16ms
step:159/500 train_time:232.979s step_avg:1465.28ms
step:160/500 train_time:234.300s step_avg:1464.38ms
step:161/500 train_time:235.625s step_avg:1463.51ms
step:162/500 train_time:236.955s step_avg:1462.69ms
step:163/500 train_time:238.281s step_avg:1461.84ms
step:164/500 train_time:239.608s step_avg:1461.02ms
step:165/500 train_time:240.938s step_avg:1460.23ms
step:166/500 train_time:242.263s step_avg:1459.42ms
step:167/500 train_time:243.592s step_avg:1458.63ms
step:168/500 train_time:244.916s step_avg:1457.84ms
step:169/500 train_time:246.238s step_avg:1457.03ms
step:170/500 train_time:247.558s step_avg:1456.22ms
step:171/500 train_time:248.892s step_avg:1455.51ms
step:172/500 train_time:250.216s step_avg:1454.75ms
step:173/500 train_time:251.539s step_avg:1453.98ms
step:174/500 train_time:252.862s step_avg:1453.23ms
step:175/500 train_time:254.191s step_avg:1452.52ms
step:176/500 train_time:255.517s step_avg:1451.80ms
step:177/500 train_time:256.839s step_avg:1451.07ms
step:178/500 train_time:258.163s step_avg:1450.35ms
step:179/500 train_time:259.487s step_avg:1449.65ms
step:180/500 train_time:260.813s step_avg:1448.96ms
step:181/500 train_time:262.135s step_avg:1448.26ms
step:182/500 train_time:263.457s step_avg:1447.57ms
step:183/500 train_time:264.777s step_avg:1446.87ms
step:184/500 train_time:266.099s step_avg:1446.19ms
step:185/500 train_time:267.427s step_avg:1445.55ms
step:186/500 train_time:268.755s step_avg:1444.92ms
step:187/500 train_time:270.078s step_avg:1444.27ms
step:188/500 train_time:271.403s step_avg:1443.63ms
step:189/500 train_time:272.736s step_avg:1443.05ms
step:190/500 train_time:274.062s step_avg:1442.43ms
step:191/500 train_time:275.533s step_avg:1442.58ms
step:192/500 train_time:276.857s step_avg:1441.97ms
step:193/500 train_time:278.186s step_avg:1441.38ms
step:194/500 train_time:279.518s step_avg:1440.82ms
step:195/500 train_time:280.844s step_avg:1440.23ms
step:196/500 train_time:282.174s step_avg:1439.66ms
step:197/500 train_time:283.499s step_avg:1439.08ms
step:198/500 train_time:284.826s step_avg:1438.52ms
step:199/500 train_time:286.153s step_avg:1437.95ms
step:200/500 train_time:287.476s step_avg:1437.38ms
step:201/500 train_time:288.799s step_avg:1436.81ms
step:202/500 train_time:290.120s step_avg:1436.24ms
step:203/500 train_time:291.449s step_avg:1435.71ms
step:204/500 train_time:292.777s step_avg:1435.18ms
step:205/500 train_time:294.097s step_avg:1434.62ms
step:206/500 train_time:295.420s step_avg:1434.08ms
step:207/500 train_time:296.748s step_avg:1433.57ms
step:208/500 train_time:298.074s step_avg:1433.05ms
step:209/500 train_time:299.398s step_avg:1432.52ms
step:210/500 train_time:300.723s step_avg:1432.01ms
step:211/500 train_time:302.047s step_avg:1431.50ms
step:212/500 train_time:303.372s step_avg:1431.00ms
step:213/500 train_time:304.697s step_avg:1430.50ms
step:214/500 train_time:306.019s step_avg:1430.00ms
step:215/500 train_time:307.345s step_avg:1429.51ms
step:216/500 train_time:308.668s step_avg:1429.02ms
step:217/500 train_time:309.996s step_avg:1428.55ms
step:218/500 train_time:311.324s step_avg:1428.09ms
step:219/500 train_time:312.652s step_avg:1427.63ms
step:220/500 train_time:313.978s step_avg:1427.17ms
step:221/500 train_time:315.299s step_avg:1426.69ms
step:222/500 train_time:316.624s step_avg:1426.24ms
step:223/500 train_time:317.952s step_avg:1425.79ms
step:224/500 train_time:319.277s step_avg:1425.34ms
step:225/500 train_time:320.600s step_avg:1424.89ms
step:226/500 train_time:321.924s step_avg:1424.44ms
step:227/500 train_time:323.251s step_avg:1424.01ms
step:228/500 train_time:324.576s step_avg:1423.58ms
step:229/500 train_time:325.899s step_avg:1423.14ms
step:230/500 train_time:327.224s step_avg:1422.71ms
step:231/500 train_time:328.550s step_avg:1422.30ms
step:232/500 train_time:329.877s step_avg:1421.88ms
step:233/500 train_time:331.201s step_avg:1421.46ms
step:234/500 train_time:332.530s step_avg:1421.07ms
step:235/500 train_time:333.859s step_avg:1420.68ms
step:236/500 train_time:335.189s step_avg:1420.29ms
step:237/500 train_time:336.517s step_avg:1419.90ms
step:238/500 train_time:337.842s step_avg:1419.50ms
step:239/500 train_time:339.171s step_avg:1419.13ms
step:240/500 train_time:340.497s step_avg:1418.74ms
step:241/500 train_time:341.824s step_avg:1418.36ms
step:242/500 train_time:343.154s step_avg:1417.99ms
step:243/500 train_time:344.483s step_avg:1417.63ms
step:244/500 train_time:345.811s step_avg:1417.26ms
step:245/500 train_time:347.138s step_avg:1416.89ms
step:246/500 train_time:348.459s step_avg:1416.50ms
step:247/500 train_time:349.784s step_avg:1416.13ms
step:248/500 train_time:351.108s step_avg:1415.76ms
step:249/500 train_time:352.435s step_avg:1415.40ms
step:250/500 train_time:353.757s step_avg:1415.03ms
step:250/500 val_loss:4.11543 train_time:353.757s step_avg:1327.27ms
